tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
s__lactolyticus,g__Anaerococcus,rank_6,s__lactolyticus,Root,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__lactolyticus
g__Rubellimicrobium,f__Rhodobacteraceae,rank_5,g__Rubellimicrobium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rubellimicrobium,
s__mesophilum,g__Rubellimicrobium,rank_6,s__mesophilum,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rubellimicrobium,s__mesophilum
s__oryzifermentans,g__Acetobacter,rank_6,s__oryzifermentans,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Acetobacter,s__oryzifermentans
s__sp._Leaf119,g__Methylobacterium,rank_6,s__sp._Leaf119,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__sp._Leaf119
s__sp._LC300,g__Geobacillus,rank_6,s__sp._LC300,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus,s__sp._LC300
s__sp._10195,g__Rhizobium,rank_6,s__sp._10195,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__sp._10195
o__Malvales,p__Streptophyta,rank_2,o__Malvales,Root,k__Eukaryota,p__Streptophyta,o__Malvales,,,,
f__Malvaceae,o__Malvales,rank_3,f__Malvaceae,Root,k__Eukaryota,p__Streptophyta,o__Malvales,f__Malvaceae,,,
g__Corchorus,f__Malvaceae,rank_4,g__Corchorus,Root,k__Eukaryota,p__Streptophyta,o__Malvales,f__Malvaceae,g__Corchorus,,
s__olitorius,g__Corchorus,rank_5,s__olitorius,Root,k__Eukaryota,p__Streptophyta,o__Malvales,f__Malvaceae,g__Corchorus,s__olitorius,
s__saudiphocaensis,g__Pseudomonas,rank_6,s__saudiphocaensis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__saudiphocaensis
s__macerans,g__Paenibacillus,rank_6,s__macerans,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__macerans
s__quasivariicola,g__Klebsiella,rank_6,s__quasivariicola,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__quasivariicola
s__sp._A1,g__Citrobacter,rank_6,s__sp._A1,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Citrobacter,s__sp._A1
g__Lachnoclostridium,f__Lachnospiraceae,rank_5,g__Lachnoclostridium,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,
s__phytofermentans,g__Lachnoclostridium,rank_6,s__phytofermentans,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,s__phytofermentans
g__Tetrasphaera,f__Intrasporangiaceae,rank_5,g__Tetrasphaera,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,
s__jenkinsii,g__Tetrasphaera,rank_6,s__jenkinsii,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__jenkinsii
s__obscurus,g__Geodermatophilus,rank_6,s__obscurus,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,g__Geodermatophilus,s__obscurus
s__tropica,g__Paraburkholderia,rank_6,s__tropica,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Paraburkholderia,s__tropica
s__sihwensis,g__Gordonia,rank_6,s__sihwensis,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Gordoniaceae,g__Gordonia,s__sihwensis
s__kuykendallii,g__Pseudomonas,rank_6,s__kuykendallii,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__kuykendallii
s__agalactiae,g__Streptococcus,rank_6,s__agalactiae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__agalactiae
s__darwinianus,g__Paenibacillus,rank_6,s__darwinianus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__darwinianus
s__sp._LNJC405B00,g__Mesorhizobium,rank_6,s__sp._LNJC405B00,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__sp._LNJC405B00
s__sp._276b,g__Paenibacillus,rank_6,s__sp._276b,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__sp._276b
s__sp._217,g__Roseovarius,rank_6,s__sp._217,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Roseovarius,s__sp._217
s__subtile,g__Bifidobacterium,rank_6,s__subtile,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__subtile
s__pseudograminearum,g__Fusarium,rank_6,s__pseudograminearum,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__pseudograminearum
s__sp._L5,g__Micromonospora,rank_6,s__sp._L5,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Micromonospora,s__sp._L5
s__sp._MGH106,g__Citrobacter,rank_6,s__sp._MGH106,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Citrobacter,s__sp._MGH106
p__Tardigrada,k__Eukaryota,rank_1,p__Tardigrada,Root,k__Eukaryota,p__Tardigrada,,,,,
c__Eutardigrada,p__Tardigrada,rank_2,c__Eutardigrada,Root,k__Eukaryota,p__Tardigrada,c__Eutardigrada,,,,
o__Parachela,c__Eutardigrada,rank_3,o__Parachela,Root,k__Eukaryota,p__Tardigrada,c__Eutardigrada,o__Parachela,,,
f__Ramazzottiidae,o__Parachela,rank_4,f__Ramazzottiidae,Root,k__Eukaryota,p__Tardigrada,c__Eutardigrada,o__Parachela,f__Ramazzottiidae,,
g__Ramazzottius,f__Ramazzottiidae,rank_5,g__Ramazzottius,Root,k__Eukaryota,p__Tardigrada,c__Eutardigrada,o__Parachela,f__Ramazzottiidae,g__Ramazzottius,
s__varieornatus,g__Ramazzottius,rank_6,s__varieornatus,Root,k__Eukaryota,p__Tardigrada,c__Eutardigrada,o__Parachela,f__Ramazzottiidae,g__Ramazzottius,s__varieornatus
s__sp._HI0054,g__Sulfitobacter,rank_6,s__sp._HI0054,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Sulfitobacter,s__sp._HI0054
s__sp._MJM1172,g__Streptomyces,rank_6,s__sp._MJM1172,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._MJM1172
s__bacterium_13_2_20CM_2_64_7,c__Alphaproteobacteria,rank_3,s__bacterium_13_2_20CM_2_64_7,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,s__bacterium_13_2_20CM_2_64_7,,,
s__sp._HI0085,g__Oleiphilus,rank_6,s__sp._HI0085,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Oleiphilaceae,g__Oleiphilus,s__sp._HI0085
s__sp._HGF5,g__Paenibacillus,rank_6,s__sp._HGF5,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__sp._HGF5
s__bicirculans,g__Ruminococcus,rank_6,s__bicirculans,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__bicirculans
s__nepalensis,g__Staphylococcus,rank_6,s__nepalensis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__nepalensis
g__Agarivorans,f__Alteromonadaceae,rank_5,g__Agarivorans,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Agarivorans,
s__albuse3,g__Agarivorans,rank_6,s__albuse3,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Agarivorans,s__albuse3
g__Oleibacter,f__Oceanospirillaceae,rank_5,g__Oleibacter,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Oceanospirillaceae,g__Oleibacter,
s__marinuse6,g__Oleibacter,rank_6,s__marinuse6,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Oceanospirillaceae,g__Oleibacter,s__marinuse6
s__sp._CF316,g__Acidovorax,rank_6,s__sp._CF316,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__sp._CF316
g__Lentzea,f__Pseudonocardiaceae,rank_5,g__Lentzea,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Lentzea,
s__waywayandensis,g__Lentzea,rank_6,s__waywayandensis,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Lentzea,s__waywayandensis
s__sp._MNU77,g__Streptomyces,rank_6,s__sp._MNU77,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._MNU77
s__sp._Root147,g__Bacillus,rank_6,s__sp._Root147,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__sp._Root147
s__olivochromogenes,g__Streptomyces,rank_6,s__olivochromogenes,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__olivochromogenes
s__synxantha,g__Pseudomonas,rank_6,s__synxantha,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__synxantha
s__azorensis,g__Roseovarius,rank_6,s__azorensis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Roseovarius,s__azorensis
s__sp._J2-29,g__Vibrio,rank_6,s__sp._J2-29,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__sp._J2-29
g__Zymoseptoria,f__Mycosphaerellaceae,rank_5,g__Zymoseptoria,Root,k__Eukaryota,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Zymoseptoria,
s__tritici,g__Zymoseptoria,rank_6,s__tritici,Root,k__Eukaryota,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Zymoseptoria,s__tritici
s__sp._SCN_70-15,g__Lautropia,rank_6,s__sp._SCN_70-15,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Lautropia,s__sp._SCN_70-15
s__salsilacus,g__Loktanella,rank_6,s__salsilacus,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Loktanella,s__salsilacus
s__sp._58_R_3,g__Pseudomonas,rank_6,s__sp._58_R_3,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__sp._58_R_3
s__freirei,g__Rhizobium,rank_6,s__freirei,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__freirei
s__jeddahensis,g__Streptomyces,rank_6,s__jeddahensis,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__jeddahensis
s__thermoresistibile,g__Mycolicibacterium,rank_6,s__thermoresistibile,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__thermoresistibile
s__sp._MIT_S9508,g__Synechococcus,rank_5,s__sp._MIT_S9508,Root,k__Bacteria,p__Cyanobacteria,o__Synechococcales,f__Synechococcaceae,g__Synechococcus,s__sp._MIT_S9508,
s__sp._DpondAA-F4,g__Streptomyces,rank_6,s__sp._DpondAA-F4,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._DpondAA-F4
s__lactise1,g__Corynebacterium,rank_6,s__lactise1,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__lactise1
s__sp._L103C120A0,g__Mesorhizobium,rank_6,s__sp._L103C120A0,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__sp._L103C120A0
s__sp._CAC-2015a,g__Emmonsia,rank_6,s__sp._CAC-2015a,Root,k__Eukaryota,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Ajellomycetaceae,g__Emmonsia,s__sp._CAC-2015a
c__Phycisphaerae,p__Planctomycetes,rank_2,c__Phycisphaerae,Root,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,,,,
s__bacterium_SM1_79,c__Phycisphaerae,rank_3,s__bacterium_SM1_79,Root,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,s__bacterium_SM1_79,,,
g__Planomonospora,f__Streptosporangiaceae,rank_5,g__Planomonospora,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__Planomonospora,
s__sphaerica,g__Planomonospora,rank_6,s__sphaerica,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__Planomonospora,s__sphaerica
s__rambellii,g__Aspergillus,rank_6,s__rambellii,Root,k__Eukaryota,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__rambellii
s__sp._IDO,g__Cupriavidus,rank_6,s__sp._IDO,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Cupriavidus,s__sp._IDO
s__sp._09RB8471,g__Brucella,rank_6,s__sp._09RB8471,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Brucellaceae,g__Brucella,s__sp._09RB8471
s__sp._Gha,g__Bradyrhizobium,rank_6,s__sp._Gha,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__sp._Gha
s__trivialise1,g__Pseudomonas,rank_6,s__trivialise1,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__trivialise1
s__steckii,g__Penicillium,rank_6,s__steckii,Root,k__Eukaryota,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__steckii
s__proteobacterium_AAP99,c__Betaproteobacteria,rank_3,s__proteobacterium_AAP99,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,s__proteobacterium_AAP99,,,
s__sp._JVH1,g__Rhodococcus,rank_6,s__sp._JVH1,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,s__sp._JVH1
s__violaceoruber,g__Streptomyces,rank_6,s__violaceoruber,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__violaceoruber
s__roseuse1,g__Streptomyces,rank_6,s__roseuse1,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__roseuse1
s__sp._OK307,g__Collimonas,rank_6,s__sp._OK307,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Collimonas,s__sp._OK307
s__sp._RUD330,g__Paenibacillus,rank_6,s__sp._RUD330,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__sp._RUD330
g__Tistrella,f__Rhodospirillaceae,rank_5,g__Tistrella,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Tistrella,
s__mobilis,g__Tistrella,rank_6,s__mobilis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Tistrella,s__mobilis
s__schweitzeri,g__Staphylococcus,rank_6,s__schweitzeri,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__schweitzeri
s__sp._YR750,g__Variovorax,rank_6,s__sp._YR750,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Variovorax,s__sp._YR750
s__sp._1100029.7,g__Mycobacterium,rank_6,s__sp._1100029.7,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__sp._1100029.7
s__sp._T1-4,g__Microcystis,rank_5,s__sp._T1-4,Root,k__Bacteria,p__Cyanobacteria,o__Chroococcales,f__Microcystaceae,g__Microcystis,s__sp._T1-4,
s__sp._HMSC56B09,g__Staphylococcus,rank_6,s__sp._HMSC56B09,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__sp._HMSC56B09
s__cyanobacterium_CG2_30_40_61,o__Oscillatoriales,rank_3,s__cyanobacterium_CG2_30_40_61,Root,k__Bacteria,p__Cyanobacteria,o__Oscillatoriales,s__cyanobacterium_CG2_30_40_61,,,
s__sp._KTE92,g__Klebsiella,rank_6,s__sp._KTE92,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__sp._KTE92
s__bacterium_RIFCSPLOWO2_12_FULL_65_11,p__Acidobacteria,rank_2,s__bacterium_RIFCSPLOWO2_12_FULL_65_11,Root,k__Bacteria,p__Acidobacteria,s__bacterium_RIFCSPLOWO2_12_FULL_65_11,,,,
g__Thiomicrospira,f__Piscirickettsiaceae,rank_5,g__Thiomicrospira,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Piscirickettsiaceae,g__Thiomicrospira,
s__sp._CG2_30_44_34,g__Thiomicrospira,rank_6,s__sp._CG2_30_44_34,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Piscirickettsiaceae,g__Thiomicrospira,s__sp._CG2_30_44_34
s__hepatarius,g__Vibrio,rank_6,s__hepatarius,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__hepatarius
s__sp._R-45379,g__Methylosinus,rank_6,s__sp._R-45379,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylosinus,s__sp._R-45379
o__Pelagibacterales,c__Alphaproteobacteria,rank_3,o__Pelagibacterales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,,,
f__Pelagibacteraceae,o__Pelagibacterales,rank_4,f__Pelagibacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,,
s__bacterium_GOM-A3,f__Pelagibacteraceae,rank_5,s__bacterium_GOM-A3,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,s__bacterium_GOM-A3,
s__sp._638,g__Enterobacter,rank_6,s__sp._638,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__sp._638
s__butyricum,g__Clostridium,rank_6,s__butyricum,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__butyricum
s__baekdonensis,g__Celeribacter,rank_6,s__baekdonensis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Celeribacter,s__baekdonensis
s__sp._cf386,g__Streptomyces,rank_6,s__sp._cf386,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._cf386
s__sp._37_R_15,g__Pseudomonas,rank_6,s__sp._37_R_15,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__sp._37_R_15
s__sp._2(2015),g__Pseudomonas,rank_6,s__sp._2(2015),Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__sp._2(2015)
g__Microvirga,f__Methylobacteriaceae,rank_5,g__Microvirga,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Microvirga,
s__sp._BSC39,g__Microvirga,rank_6,s__sp._BSC39,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Microvirga,s__sp._BSC39
s__soldanellicola,g__Chryseobacterium,rank_6,s__soldanellicola,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Chryseobacterium,s__soldanellicola
s__sp._K11,g__Thauera,rank_6,s__sp._K11,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Thauera,s__sp._K11
o__Apiales,p__Streptophyta,rank_2,o__Apiales,Root,k__Eukaryota,p__Streptophyta,o__Apiales,,,,
f__Apiaceae,o__Apiales,rank_3,f__Apiaceae,Root,k__Eukaryota,p__Streptophyta,o__Apiales,f__Apiaceae,,,
g__Daucus,f__Apiaceae,rank_4,g__Daucus,Root,k__Eukaryota,p__Streptophyta,o__Apiales,f__Apiaceae,g__Daucus,,
s__carota,g__Daucus,rank_5,s__carota,Root,k__Eukaryota,p__Streptophyta,o__Apiales,f__Apiaceae,g__Daucus,s__carota,
s__sp._CLI2509,g__Streptomyces,rank_6,s__sp._CLI2509,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._CLI2509
f__Coleofasciculaceae,o__Oscillatoriales,rank_3,f__Coleofasciculaceae,Root,k__Bacteria,p__Cyanobacteria,o__Oscillatoriales,f__Coleofasciculaceae,,,
g__Roseofilum,f__Coleofasciculaceae,rank_4,g__Roseofilum,Root,k__Bacteria,p__Cyanobacteria,o__Oscillatoriales,f__Coleofasciculaceae,g__Roseofilum,,
s__reptotaenium,g__Roseofilum,rank_5,s__reptotaenium,Root,k__Bacteria,p__Cyanobacteria,o__Oscillatoriales,f__Coleofasciculaceae,g__Roseofilum,s__reptotaenium,
s__diernhoferi,g__Mycolicibacterium,rank_6,s__diernhoferi,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__diernhoferi
s__sp._Leaf121,g__Methylobacterium,rank_6,s__sp._Leaf121,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__sp._Leaf121
s__sp._NFR16,g__Pseudomonas,rank_6,s__sp._NFR16,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__sp._NFR16
s__cibinongensis,g__Acetobacter,rank_6,s__cibinongensis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Acetobacter,s__cibinongensis
g__Candidatus_Nitrosocosmicus,f__Nitrososphaeraceae,rank_5,g__Candidatus_Nitrosocosmicus,Root,k__Archaea,p__Thaumarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrosocosmicus,
s__Nitrocosmicus_oleophilus,g__Candidatus_Nitrosocosmicus,rank_6,s__Nitrocosmicus_oleophilus,Root,k__Archaea,p__Thaumarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrosocosmicus,s__Nitrocosmicus_oleophilus
s__sp._UW4,g__Pseudomonas,rank_6,s__sp._UW4,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__sp._UW4
s__sp._SFC,g__Acinetobacter,rank_6,s__sp._SFC,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__sp._SFC
s__Nitrososphaera_gargensis,g__Nitrososphaera,rank_6,s__Nitrososphaera_gargensis,Root,k__Archaea,p__Thaumarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera,s__Nitrososphaera_gargensis
o__Nakamurellales,c__Actinobacteria,rank_3,o__Nakamurellales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Nakamurellales,,,
f__Nakamurellaceae,o__Nakamurellales,rank_4,f__Nakamurellaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Nakamurellales,f__Nakamurellaceae,,
g__Nakamurella,f__Nakamurellaceae,rank_5,g__Nakamurella,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Nakamurellales,f__Nakamurellaceae,g__Nakamurella,
s__multipartita,g__Nakamurella,rank_6,s__multipartita,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Nakamurellales,f__Nakamurellaceae,g__Nakamurella,s__multipartita
g__Nautella,f__Rhodobacteraceae,rank_5,g__Nautella,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Nautella,
