tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
g__Sphingobacterium,f__Sphingobacteriaceae,rank_5,g__Sphingobacterium,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,
s__sp._B29,g__Sphingobacterium,rank_6,s__sp._B29,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,s__sp._B29
s__sp._CB00072,g__Streptomyces,rank_6,s__sp._CB00072,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._CB00072
s__moorei,g__Pseudomonas,rank_6,s__moorei,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__moorei
f__Bacillaceae,o__Bacillales,rank_4,f__Bacillaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,,
g__Bacillus,f__Bacillaceae,rank_5,g__Bacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,
s__subtilis,g__Bacillus,rank_6,s__subtilis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__subtilis
s__organism,Root,rank_0,s__organism,Root,s__organism,,,,,,
p__Ascomycota,k__Eukaryota,rank_1,p__Ascomycota,Root,k__Eukaryota,p__Ascomycota,,,,,
c__Sordariomycetes,p__Ascomycota,rank_2,c__Sordariomycetes,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,,,,
o__Sordariales,c__Sordariomycetes,rank_3,o__Sordariales,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,
g__Madurella,o__Sordariales,rank_4,g__Madurella,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,o__Sordariales,g__Madurella,,
s__mycetomatis,g__Madurella,rank_5,s__mycetomatis,Root,k__Eukaryota,p__Ascomycota,c__Sordariomycetes,o__Sordariales,g__Madurella,s__mycetomatis,
g__Comamonas,f__Comamonadaceae,rank_5,g__Comamonas,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,
s__aquatica,g__Comamonas,rank_6,s__aquatica,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__aquatica
s__sp._SAT1,g__Streptomyces,rank_6,s__sp._SAT1,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._SAT1
c__Flavobacteriia,p__Bacteroidetes,rank_2,c__Flavobacteriia,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,,,,
o__Flavobacteriales,c__Flavobacteriia,rank_3,o__Flavobacteriales,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,,,
f__Flavobacteriaceae,o__Flavobacteriales,rank_4,f__Flavobacteriaceae,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,,
g__Elizabethkingia,f__Flavobacteriaceae,rank_5,g__Elizabethkingia,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Elizabethkingia,
s__bruuniana,g__Elizabethkingia,rank_6,s__bruuniana,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Elizabethkingia,s__bruuniana
s__sp._MMG1522,g__Streptomyces,rank_6,s__sp._MMG1522,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._MMG1522
o__Geodermatophilales,c__Actinobacteria,rank_3,o__Geodermatophilales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,,,
f__Geodermatophilaceae,o__Geodermatophilales,rank_4,f__Geodermatophilaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,,
g__Modestobacter,f__Geodermatophilaceae,rank_5,g__Modestobacter,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,g__Modestobacter,
s__sp._Leaf380,g__Modestobacter,rank_6,s__sp._Leaf380,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,g__Modestobacter,s__sp._Leaf380
f__Rhizobiaceae,o__Rhizobiales,rank_4,f__Rhizobiaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,,
g__Sinorhizobium,f__Rhizobiaceae,rank_5,g__Sinorhizobium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,
s__americanum,g__Sinorhizobium,rank_6,s__americanum,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__americanum
g__Klebsiella,f__Enterobacteriaceae,rank_5,g__Klebsiella,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,
s__pneumoniae,g__Klebsiella,rank_6,s__pneumoniae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__pneumoniae
g__Geobacillus,f__Bacillaceae,rank_5,g__Geobacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus,
s__stearothermophilus,g__Geobacillus,rank_6,s__stearothermophilus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Geobacillus,s__stearothermophilus
s__amygdali,g__Pseudomonas,rank_6,s__amygdali,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__amygdali
g__Rhizobium,f__Rhizobiaceae,rank_5,g__Rhizobium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,
s__multihospitium,g__Rhizobium,rank_6,s__multihospitium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__multihospitium
p__Cyanobacteria,k__Bacteria,rank_1,p__Cyanobacteria,Root,k__Bacteria,p__Cyanobacteria,,,,,
o__Synechococcales,p__Cyanobacteria,rank_2,o__Synechococcales,Root,k__Bacteria,p__Cyanobacteria,o__Synechococcales,,,,
f__Synechococcaceae,o__Synechococcales,rank_3,f__Synechococcaceae,Root,k__Bacteria,p__Cyanobacteria,o__Synechococcales,f__Synechococcaceae,,,
g__Synechococcus,f__Synechococcaceae,rank_4,g__Synechococcus,Root,k__Bacteria,p__Cyanobacteria,o__Synechococcales,f__Synechococcaceae,g__Synechococcus,,
s__sp._WH_7805,g__Synechococcus,rank_5,s__sp._WH_7805,Root,k__Bacteria,p__Cyanobacteria,o__Synechococcales,f__Synechococcaceae,g__Synechococcus,s__sp._WH_7805,
s__sp._CCOS_191,g__Pseudomonas,rank_6,s__sp._CCOS_191,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__sp._CCOS_191
c__Oomycetes,k__Eukaryota,rank_1,c__Oomycetes,Root,k__Eukaryota,c__Oomycetes,,,,,
o__Saprolegniales,c__Oomycetes,rank_2,o__Saprolegniales,Root,k__Eukaryota,c__Oomycetes,o__Saprolegniales,,,,
f__Saprolegniaceae,o__Saprolegniales,rank_3,f__Saprolegniaceae,Root,k__Eukaryota,c__Oomycetes,o__Saprolegniales,f__Saprolegniaceae,,,
g__Achlya,f__Saprolegniaceae,rank_4,g__Achlya,Root,k__Eukaryota,c__Oomycetes,o__Saprolegniales,f__Saprolegniaceae,g__Achlya,,
s__hypogyna,g__Achlya,rank_5,s__hypogyna,Root,k__Eukaryota,c__Oomycetes,o__Saprolegniales,f__Saprolegniaceae,g__Achlya,s__hypogyna,
s__sp._Root369,g__Streptomyces,rank_6,s__sp._Root369,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp._Root369
g__Pseudooceanicola,f__Rhodobacteraceae,rank_5,g__Pseudooceanicola,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pseudooceanicola,
s__nitratireducens,g__Pseudooceanicola,rank_6,s__nitratireducens,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pseudooceanicola,s__nitratireducens
s__agglomeratus,g__Streptomyces,rank_6,s__agglomeratus,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__agglomeratus
s__glycinifermentans,g__Bacillus,rank_6,s__glycinifermentans,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__glycinifermentans
f__Hyphomicrobiaceae,o__Rhizobiales,rank_4,f__Hyphomicrobiaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,,
g__Prosthecomicrobium,f__Hyphomicrobiaceae,rank_5,g__Prosthecomicrobium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Prosthecomicrobium,
s__hirschii,g__Prosthecomicrobium,rank_6,s__hirschii,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Prosthecomicrobium,s__hirschii
f__Alcaligenaceae,o__Burkholderiales,rank_4,f__Alcaligenaceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,,
